Code Officiel Commune;Nom Officiel Commune Majuscule
19263;SOUDEILLES
21032;AUBIGNY-LA-RONCE
21079;BLAGNY-SUR-VINGEANNE
21110;BROCHON
21121;BUSSY-LA-PESLE
21132;CHAMBŒUF
21150;CHASSAGNE-MONTRACHET
21173;CHOREY-LES-BEAUNE
21198;CORROMBLES
21201;COULMIER-LE-SEC
21232;DOMPIERRE-EN-MORVAN
21247;ÉPOISSES
21329;JUILLY
21343;LARREY
21381;MARCILLY-ET-DRACY
21393;MASSINGY
21420;MOLINOT
21467;OISILLY
21528;LA ROCHE-VANNEAU
21531;ROUVRAY
21575;SAINT-SYMPHORIEN-SUR-SAÔNE
21624;TELLECEY
21703;VILLIERS-EN-MORVAN
22069;GUENROC
22112;LANNEBERT
22128;LOCARN
22166;PENVÉNAN
22278;SAINT-BRIEUC
22287;SAINT-DONAN
23137;MOURIOUX-VIEILLEVILLE
23174;SOUMANS
23197;SAINT-GEORGES-LA-POUGE
23205;SAINT-JUNIEN-LA-BREGÈRE
23243;SAINT-SILVAIN-SOUS-TOULX
23246;SAINT-SULPICE-LES-CHAMPS
24030;BEAUREGARD-DE-TERRASSON
24040;BEYNAC-ET-CAZENAC
24052;BOUILLAC
24095;CHALAIS
24194;GARDONNE
24229;LE LARDIN-SAINT-LAZARE
24230;LARZAC
24236;LÉGUILLAC-DE-L'AUCHE
24263;MAZEYROLLES
24278;MONMADALÈS
24287;MONTAUT
24385;SAINT-CERNIN-DE-LABARDE
24390;SAINT-CRÉPIN-D'AUBEROCHE
24407;SAINTE-FOY-DE-LONGAS
24423;SAINT-JULIEN-INNOCENCE-EULALIE
24455;SAINT-MARTIN-DE-RIBÉRAC
24490;SAINT PRIVAT EN PÉRIGORD
25004;ABBÉVILLERS
25011;ALLENJOIE
25029;AUBONNE
25051;BELLEHERBE
25089;BREMONDANS
25119;CHAMPVANS-LES-MOULINS
25142;CHAUX-NEUVE
25160;LES COMBES
25277;GONDENANS-LES-MOULINS
25290;LA GRANGE
25315;L'ISLE-SUR-LE-DOUBS
25329;LAVAL-LE-PRIEURÉ
25335;LIEBVILLERS
25346;LONGEVILLE
25368;MARCHAUX-CHAUDEFONTAINE
25377;MÉSANDANS
25382;MONCEY
25404;MONTMAHOUX
25411;MORTEAU
25422;NEUCHÂTEL-URTIÈRE
25426;NOIREFONTAINE
25436;ORVE
25477;RANCENAY
25482;RECOLOGNE
25494;ROCHEJEAN
25507;ROUHE
25536;SAUVAGNEY
25540;SEMONDANS
25547;SOCHAUX
25611;LA VÈZE
25617;VILLARS-SOUS-DAMPJOUX
25629;VOILLANS
26021;AUTICHAMP
26070;CHAMARET
26073;CHANTEMERLE-LÈS-GRIGNAN
26084;CHÂTEAUNEUF-SUR-ISÈRE
26103;CONDORCET
26170;MALISSARD
26173;MARCHES
26206;MONTMEYRAN
26222;ORCINAS
26225;PARNANS
26235;PIERRELATTE
26242;LE POËT-EN-PERCIP
26295;SAINT-BARTHÉLEMY-DE-VALS
26311;SAINT-LAURENT-EN-ROYANS
26319;SAINT-MICHEL-SUR-SAVASSE
26358;UPIE
27052;LE BEC-HELLOUIN
27115;BREUX-SUR-AVRE
27117;BROGLIE
27138;CHAMBLAC
27157;MARBOIS
27194;CUVERVILLE
27200;DARDEZ
27215;ECQUETOT
27228;ÉTURQUERAYE
27251;FONTAINE-L'ABBÉ
27304;GUERNY
27397;MÉNILLES
27447;LE VAL-DORÉ
27488;RENNEVILLE
27540;SAINTE-GENEVIÈVE-LÈS-GASNY
27663;LE TRONCQ
28032;BEAUVILLIERS
28076;LA CHAPELLE-FORAINVILLIERS
28079;CHAPELLE-ROYALE
01045;BIRIEUX
01057;BOZ
01083;CHANEINS
01092;CHÂTILLON-LA-PALUD
01115;CONFRANÇON
01135;CROZET
01152;ÉCHALLON
01212;LESCHEROUX
01224;LOYETTES
01255;MONTAGNIEU
01263;MONTMERLE-SUR-SAÔNE
01437;VESCOURS
01448;VILLES
02014;AMIGNY-ROUY
02032;AUBIGNY-AUX-KAISNES
02157;CHAMBRY
02173;CHAUNY
02223;COURBOIN
02233;CRAMAILLE
02240;CROIX-FONSOMME
02309;FESTIEUX
02311;FILAIN
02363;GUNY
02369;HARCIGNY
02380;HINACOURT
